judul,harga,lokasi,kamar_tidur,kamar_mandi,luas_tanah,luas_bangunan,jumlah_garasi,daya_watt,jumlah_lantai,sertifikat_Hak_Pakai,sertifikat_Lainnya,sertifikat_PPJB,sertifikat_SHM,kota_Batu,kota_Gresik,kota_Jember,kota_Kediri,kota_Lumajang,kota_Madiun,kota_Malang,kota_Mojokerto,kota_Nganjuk,kota_Pamekasan,kota_Pasuruan,kota_Probolinggo,kota_Sidoarjo,kota_Situbondo,kota_Surabaya,kota_Trenggalek,kota_Tuban,kota_Tulungagung,kota_original,sertifikat_rumah_original
Rumah Cantik Berkonsep Modern Compact House Di Cluster Griya Asri Pakuwon City,1800000000,"Kenjeran, Surabaya",3,2,78,60,1,4400,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah New Gress 2 Lt Minimalis Modern Di Jemursari Sangat Cocok Untuk Hunian Keluarga Atau Investasi,1700000000,"Jemursari, Surabaya",4,3,82,120,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Minimalis Modern Bebas Abnjir Di Grand Semanggi Cluster Recidence Dekat Stikom Merr,780000000,"Rungkut, Surabaya",2,1,91,91,1,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah New 100% Mungil Siap Huni Sangat Berkualitas Di Pantai Mentari,1850000000,"Kenjeran, Surabaya",4,3,90,130,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Yang Asri Siap Huni Sangat Cocok Untuk Keluarga Di Kutisari Indah Utara Dekat Dengan Univ Petra,3000000000,"Kutisari, Surabaya",3,3,287,250,1,3500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah New Gress 2 Lt Posisi Hook Di Jemursari Sangat Cocok Untuk Hunian Keluarga Dan Cocok Untuk Investasi,2700000000,"Jemursari, Surabaya",4,3,135,180,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Baru Gress 2 Lt Minimalis Modern Di Jemursari Selatan,2100000000,"Jemursari, Surabaya",4,3,102,150,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Minimalis 2 Lt Dipondok Tjandra Cocok Untuk Hunian Keluarga,1300000000,"Waru, Sidoarjo",3,3,72,75,1,2200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,HGB
Rumah Baru 2 Lt Modern Minimalis Di Jemursari Cocok Untuk Hunian Keluarga Dan Investasi Bianis,2500000000,"Jemursari, Surabaya",4,3,120,170,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah 2 Lt Siap Huni Di Manyar Tirtoasri,3900000000,"Manyar, Surabaya",5,4,160,150,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Rumah Siap Huni Gayungan Dekat Ayani, Gayungsari, Ketintang",11000000000,"Gayungan, Surabaya",7,4,600,392,1,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Baru Gress Modern Klampis Semolo Surabaya Timur,1850000000,"Manyar, Surabaya",3,3,102,125,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah 3 Lantai di citraland Utama,6650000000,"Citraland, Surabaya",4,5,180,420,1,2200,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Rumah Di Royal Residence Wiyung Surabaya Barat,3000000000,"Wiyung, Surabaya",3,2,128,160,1,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Type COMO, Luxury Home di Cluster Lake Side, Citra Garden Sidoarjo",2550000000,"Sidoarjo, Sidoarjo",3,2,120,142,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah 2 Lantai Tanpa DP Terbaik di Sidoarjo Kota,980000000,"Sidoarjo, Sidoarjo",3,2,90,70,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah 400 Jutaan Nol Jalan Paling Murah Di Krian Kota,475000000,"Wonoayu, Sidoarjo",2,1,75,36,2,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah Murah Di Selatan Surabaya Tanpa Dp Biaya 100% Free,531000000,"Gedangan, Sidoarjo",2,1,75,36,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah Mewah 3 Lantai Di Sidoarjo Kota,1600000000,"Sidoarjo, Sidoarjo",4,3,108,138,2,2200,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah 300 Jutaan Tanpa Dp Tanpa Biaya Di Nol Jalan Area Krian Kota,375000000,"Krian, Sidoarjo",2,1,75,36,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah 300 Jutaan Saja Di Java Residence,390000000,"Krian, Sidoarjo",2,1,90,36,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rungkut Mapan dekat MERR,1700000000,"Rungkut, Surabaya",3,3,93,120,2,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
400 Jutaan Rumah Mewah Di Tera Land,450000000,"Menganti, Gresik",2,1,60,38,1,1300,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gresik,SHM
New Rumah Murah Didaerah Exclusive,685000000,"Waru, Sidoarjo",2,2,90,56,2,1300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Termurah. Rumah 300 Jutaan Di Krian Kota Sidoarjo Rumah Bagus,382000000,"Sukodono, Sidoarjo",2,1,90,36,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah Paling Murah Tanpa Dp Free Semua Biaya Krian Kota,375000000,"Krian, Sidoarjo",2,1,75,36,2,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah Baru 600 Jutaan Di Selatan Surabaya Rumah Tanpa Dp Tanpa Biaya Pajak Dan Lain Lain,630000000,"Sukodono, Sidoarjo",2,1,90,36,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Hanya.300 Jutaan Rumah Di Area Juanda,390000000,"Gedangan, Sidoarjo",2,1,90,36,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Hanya 5 Juta! Rumah Modern Mewah Di Java Residence Sukodono,685000000,"Sukodono, Sidoarjo",2,2,90,56,2,1300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
On Sale Rumah Siap Huni 105 M2 Hanya 500 Jutaan Di Krian Kota,560000000,"Sukodono, Sidoarjo",2,1,105,39,2,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah Murah Berkualitas 300 Jutaan Di Java Residence Krian,375000000,"Krian, Sidoarjo",2,1,75,36,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah Dijual Lokasi Sangat Strategis Di Suhat Malang Kota,2650000000,"Malang Kota, Malang",3,3,120,120,1,3500,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Rumah Dijual Di Jalan Pulau Pulau Pusat Kota Malang,2400000000,"Malang Kota, Malang",4,4,300,250,2,2200,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Hot Listing... Rumah Bagus Siap Huni Royal Residence,2400000000,"Wiyung, Surabaya",2,2,167,140,2,5500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Minimalis Modern Konsep Villa Bukit Golf Mediterania Somerset Citraland 3LT Luas 600m2 Surabaya Barat,10800000000,"Citraland, Surabaya",5,5,600,300,2,3500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Dijual Rumah Graha Family 2 Lantai Minimalis Super Mewah Luas 240m 3 Kamar Dekat Pakuwon Mall Surabaya Barat,9000000000,"Graha, Surabaya",3,3,240,240,2,5500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Cepat Rumah Baru Graha Green Garden 2LT 3KT Luas 97m Surabaya Barat,2000000000,"Wiyung, Surabaya",3,2,150,97,1,2200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Rumah Full Furnish Terawat Di Sawojajar Malang,1150000000,"Sawojajar, Malang",3,3,135,200,1,900,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Dijual Murah Rumah Siap Huni@la Diva Menganti,600000000,"Menganti, Surabaya",2,2,112,54,2,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Murah Rumah Mansion Nine Type Kingstone,1350000000,"Wiyung, Surabaya",3,2,72,98,1,3500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Dijual Rumah Graha Natura Siap Huni Luas 105,2200000000,"Citraland, Surabaya",3,3,105,116,1,3500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Dijual Rumah Siap Huni Bukit Palma Bangunan Baru,1250000000,"Citraland, Surabaya",5,3,96,85,1,2200,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,PPJB
Dijual Cepat Rumah Di Pantai Mentari Cluster The Hampton,1750000000,"Kenjeran, Surabaya",3,2,102,101,2,5500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Full Furnish di Taman Mutiara Pakuwon City Surabaya,2000000000,"Pakuwon City, Surabaya",3,2,90,145,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
JUAL CEPAT Rumah Mewah Graha Natura dekat Citraland Turun Harga,7100000000,"Citraland, Surabaya",3,4,432,500,1,10000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Murah Rumah 1lt Industrial Bagus Slangkah Ke Skolah Kampus Juanda,1100000000,"Pondok Tjandra, Sidoarjo",2,2,120,100,1,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual RUMAH BARU 2 lt siap huni HOOK murah nyaman selangkah ke juanda merr tol,1700000000,"Pondok Tjandra, Sidoarjo",3,2,83,140,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
"Dijual Cepat Rumah Di Taman Pondok Indah, Wiyung‼️",4750000000,"Wiyung, Surabaya",5,3,360,310,1,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Bukit Palma Citraland utara,1950000000,"Citraland, Surabaya",3,2,90,144,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
RUMAH 2 LANTAI SIAP HUNI DI RUNGKUT ASRI TIMUR DEKAT MERR,3400000000,"Rungkut, Surabaya",4,4,200,300,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Minimalis Mewah Waterfront LB520m 3LT Citraland,9000000000,"Citraland, Surabaya",5,6,264,620,3,10000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
"Rumah Simpang Darmo, Bagus Siap Huni",1850000000,"Darmo permai, Surabaya",3,2,104,132,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Baru Exclusive Baruk Utara Rungkut,2300000000,"Rungkut, Surabaya",4,3,115,160,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Rumah Surabaya Barat, Babatan Pratama, 2 kavling utk 1 rumah",3800000000,"Gubeng, Surabaya",4,3,324,220,1,3500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Strategis Di Tenggilis Utara,3300000000,"Rungkut, Surabaya",4,3,200,300,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Baru Renovasi Northwest Hill Citraland,1450000000,"Citraland, Surabaya",3,2,72,100,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Simpang Darmo Permai Letak Strategis,4500000000,"Surabaya Kota, Surabaya",5,5,360,450,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Siap Huni Bukit Palma Citraland,1700000000,"Citraland, Surabaya",3,2,120,100,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Paket Beli Rumah Gratis Villa di Batu Malang,1350000000,"Batu, Batu",3,2,99,120,1,5500,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Batu,SHM
Dijual Rumah Perum Safira Garden Cluster Sidoarjo,900000000,"Sidoarjo, Sidoarjo",2,1,90,42,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Rumah Baru Renovasi Northwest Hill Citraland,1450000000,"Citraland, Surabaya",3,2,72,100,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah 2 Lantai Exclusive Springville Rungkut,2950000000,"Rungkut, Surabaya",3,3,112,184,2,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Mewah Raffles Garden Citraland Dengan Private Pool,14500000000,"Citraland, Surabaya",5,5,430,500,2,5500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Murah Rumah 2 Lt Palm Residence Sememi Barat,1350000000,"Benowo, Surabaya",3,3,105,170,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Gress Nirwana Executive Rungkut 5 Menit Ke Merr,1650000000,"Rungkut, Surabaya",3,3,87,120,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Dukuh Kupang Barat Letak Strategis,1200000000,"Surabaya Kota, Surabaya",2,1,98,80,1,3500,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,Lainnya
Dijual Cepat Rumah Lokasi Tambak Medokan Ayu Rungkut,600000000,"Rungkut, Surabaya",2,1,100,40,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Pusat Kota Tumapel Lokasi Strategis Untuk Kos kosan,12000000000,"Surabaya Kota, Surabaya",22,8,365,534,2,5500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Satu Setengah Lantai Wiguna Tengah Selangkah Ke Merr,1100000000,"Rungkut, Surabaya",3,2,120,130,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Baruk Utara Strategis Selangkah Menuju Merr,1700000000,"Rungkut, Surabaya",2,1,180,116,1,3500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Grand Pakuwon Minimalis Modern,1650000000,"Pakuwon City, Surabaya",3,2,100,90,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Dijual Rumah 2 Lantai Permata Sukodono, Sidoarjo",1150000000,"Sidoarjo, Sidoarjo",4,4,127,184,1,1300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Rumah Gress Nirwana Executive Selangkah Ke Merr,1650000000,"Rungkut, Surabaya",3,3,112,120,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Medayu Utara Area Rungkut Letak Sangat Strategis,1500000000,"Rungkut, Surabaya",2,1,160,112,1,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Turun Harga Dijual Rumah Royal Residence Cluster Depan,3290000000,"Wiyung, Surabaya",4,3,175,250,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Purimas Pecatu Selangkah Ke Kampus Upn,2700000000,"Rungkut, Surabaya",4,2,112,260,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Via Lelang Rumah Citra Harmoni Cluster New York Sidoarjo,800000000,"Sidoarjo, Sidoarjo",2,1,120,69,2,2200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,HGB
Dijual Rumah Gress Baruk Utara Letak Strategis,1750000000,"Rungkut, Surabaya",3,3,75,100,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Perum Sekarpuro Malang Selangkah Ke Toll Madya,800000000,"Malang Kota, Malang",2,1,81,120,1,2200,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Dijual Via Lelang Rumah Bukit Palma Citraland Posisi Kosong,880000000,"Citraland, Surabaya",2,1,153,90,1,3300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
"Dijual Cepat Rumah Mewah 3,5 Lantai Galaxi Bumi Permai Surabaya",10500000000,"Surabaya Kota, Surabaya",7,8,527,527,4,6600,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Grand Sunrise Mengati Siap Huni,1150000000,"Menganti, Surabaya",3,2,75,100,1,2200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Dijual Via Lelang Rumah Minimalis Modern Wiguna,684000000,"Rungkut, Surabaya",3,1,120,120,1,1300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Citra Harmoni Trosobo Sidoarjo,915000000,"Sidoarjo, Sidoarjo",2,1,90,75,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Via Lelang Rumah Modern Selangkah Ke Bandara,309000000,"Rungkut, Surabaya",3,1,128,128,1,1300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Dijual Via Lelang Rumah Perum Amarta Safira Sidoarjo,306000000,"Sidoarjo, Sidoarjo",3,1,72,72,1,1300,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Rumah Pondok Jati Dekat Rs Delta Surya,1700000000,"Sidoarjo, Sidoarjo",3,2,154,81,2,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
"Dijual Rumah Mewah di Menanggal, Dekat Gayungsari dan Ahmad Yani",9000000000,"Surabaya Kota, Surabaya",4,4,441,810,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Klasik Mewah di San Antonio Pakuwon City,11000000000,"Pakuwon City, Surabaya",6,4,367,550,2,10600,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Mewah Private Pool Bulu Jaya Dekat Pakuwon Mall,7000000000,"Citraland, Surabaya",6,5,636,636,3,11000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah 2 Lantai Minimalis Modern  Grand Harvest,1150000000,"Wiyung, Surabaya",2,2,60,80,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Jual Rumah 2 Lantai Minimalis Modern Rungkut Asri,1580000000,"Rungkut, Surabaya",3,3,90,90,2,3300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
DiJual Rumah Mewah Citraland 2.5 Lantai (Split Level).,8500000000,"Citraland, Surabaya",5,6,300,475,2,5500,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Siap Huni Medayu Utara Rungkut,890000000,"Rungkut, Surabaya",2,1,100,75,1,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Cepat Rumah Minimalis Grand Harvest Belvoir Surabaya,2000000000,"Wiyung, Surabaya",3,2,126,115,2,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Via Lelang Rumah Nginden Permata,245000000,"Surabaya Kota, Surabaya",3,2,114,114,1,1300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Via Lelang Rumah Pondok Maritim Indah,625000000,"Wiyung, Surabaya",2,1,135,87,2,1300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Dijual Rumah Minimalis Modern Dekat Kampus Daerah Jemursari,1600000000,"Surabaya Kota, Surabaya",3,3,72,125,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Turun Harga Dijual Rumah Gunung Anyar Surabaya,600000000,"Rungkut, Surabaya",2,2,100,70,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Cepat Rumah Buduran Sidoarjo Harga Bisa Nego,900000000,"Sidoarjo, Sidoarjo",3,2,112,105,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Harga Promo Rumah Mewah 2 Lantai Gress Daerah Citraland,2550000000,"Citraland, Surabaya",3,3,126,190,2,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Minimalis Modern Daerah Dharmahusada Indah,1550000000,"Surabaya Kota, Surabaya",3,3,91,140,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Harga Promo Rumah 2 Lantai Gress Raya Boulevard Citraland,2550000000,"Citraland, Surabaya",3,3,126,190,2,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Cepat Rumah Sidosermo Pusat Kota Surabaya,3900000000,"Surabaya Kota, Surabaya",4,2,200,340,2,2200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Dijual Cepat Rumah Darmo Permai Selatan 5,5600000000,"Darmo permai, Surabaya",5,3,210,500,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Pondok Tjandra Sidoarjo Dekat Bandara,725000000,"Sidoarjo, Sidoarjo",2,1,90,90,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Rumah Full Furnished Puri Surya Juanda,1650000000,"Sidoarjo, Sidoarjo",3,2,128,200,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Cepat Rumah Siap Huni Bebas Banjir Tambaksari,550000000,"Surabaya Kota, Surabaya",3,1,50,60,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Dijual Murah Rumah Siap Huni di Sememi, Surabaya Barat",595000000,"Benowo, Surabaya",2,1,90,60,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Minimalis Pondok Indah Benowo,790000000,"Wiyung, Surabaya",4,2,90,160,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Murah Rumah 1 Lantai Green Semanggi Mangrove Rungkut,750000000,"Rungkut, Surabaya",2,1,84,50,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Cepat Rumah Daerah Legok Sukodono Sidoarjo,550000000,"Sidoarjo, Sidoarjo",2,1,162,50,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
