judul,harga,lokasi,kamar_tidur,kamar_mandi,luas_tanah,luas_bangunan,jumlah_garasi,daya_watt,jumlah_lantai,sertifikat_Hak_Pakai,sertifikat_Lainnya,sertifikat_PPJB,sertifikat_SHM,kota_Batu,kota_Gresik,kota_Jember,kota_Kediri,kota_Lumajang,kota_Madiun,kota_Malang,kota_Mojokerto,kota_Nganjuk,kota_Pamekasan,kota_Pasuruan,kota_Probolinggo,kota_Sidoarjo,kota_Situbondo,kota_Surabaya,kota_Trenggalek,kota_Tuban,kota_Tulungagung,kota_original,sertifikat_rumah_original
Rumah Murah Medokan Ayu Pandugo Rungkut Surabaya,525000000,"Rungkut, Surabaya",2,1,50,36,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Cantik Di Perum Rungkut Surabaya,865000000,"Rungkut, Surabaya",3,2,100,60,1,1300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Mojokerto Subsidi Dekat Surabaya Akses Tol Terlaris Viral,166000000,"Surabaya Kota, Surabaya",2,1,66,27,1,1300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Jual Rumah Citraland Telaga Utama Main Road Double Way,13000000000,"Citraland, Surabaya",4,4,480,300,2,5500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,HGB
Murah Langka Rumah Vintage Tengah Kota Malang Area Klojen Malang,23000000000,"Malang Kota, Malang",5,3,1153,790,4,6600,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Murah Langka Tengah Kota Dekat Mog Dan Ijen Boulevard Strategis,13000000000,"Malang Kota, Malang",5,2,515,250,1,6600,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Mewah Semi Furnish 2 Lantai Siap Huni Di Niew Indie Araya Malang,4970000000,"Araya, Malang",4,4,240,350,1,4400,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
Dijual Rumah Tirtasani Malang Semi Furnished,1350000000,"Karangploso, Malang",3,2,180,95,2,3300,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,Lainnya
Rumah 2 Lantai Dekat Bandara Juanda Surabaya,1430000000,"Sidoarjo, Sidoarjo",6,5,168,200,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Rumah Northwest Hill Lake Park Central Citraland Surabaya Barat,1150000000,"Citraland, Surabaya",2,2,72,90,1,2200,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,PPJB
"DIJUAL RUMAH BAUHAUS RESIDENCE,GAYUNG KEBONSARI",1850000000,"Gayungan, Surabaya",2,3,96,90,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah 2 Lantai Sukomanunggal Surabaya Barat,2100000000,"Sukomanunggal, Surabaya",4,3,189,324,1,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Turun Harga Rumah Baru 1lt Industrial Selangkah Ke Sekolah Juanda,1200000000,"Pondok Tjandra, Sidoarjo",2,2,120,100,1,2200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sidoarjo,SHM
Dijual Cepat Rumah Siap Huni Dan Sangat Terawat Di Rungkut Harapan,2300000000,"Rungkut, Surabaya",4,2,200,200,2,3500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Rumah menanggal surabaya, dekat gayungan kebonsari jambangan",1350000000,"Gayungan, Surabaya",5,2,135,202,1,3300,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Baru di Puri Galaxy Cluster Jasmine Courts 2 Lt Full Marmer,2990000000,"Surabaya Kota, Surabaya",3,3,128,133,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Bukit Palma Northwest Lake Park Citraland Surabaya Barat,950000000,"Citraland, Surabaya",3,2,84,114,1,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah Cantik 2 Lantai Perum Wiguna Dp Minim,695000000,"Rungkut, Surabaya",3,2,50,70,1,1300,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah 5 menit G Walk Citraland Surabaya Barat,850000000,"Citraland, Surabaya",3,2,71,70,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Mewah Minimalis Modern Royal Residence,1750000000,"Wiyung, Surabaya",4,3,50,115,1,3500,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Minimalis Modern Tenggilis Mejoyo Surabaya Timur,1390000000,"Rungkut, Surabaya",3,2,50,80,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Mewah Semi Furnish Kompleks Exclusive MargorejoIndah,7700000000,"Surabaya Kota, Surabaya",5,3,400,500,2,10600,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Second Kondisi Sangat Terawat & Siap Huni Manyar,3500000000,"Surabaya Kota, Surabaya",4,3,180,280,2,3500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Cepat! Rumah Lebar 9 Lokasi Rungkut Surabaya,1300000000,"Rungkut, Surabaya",4,2,135,135,1,2200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"Rumah Citraland  Bukit Golf International Surabaya Barat, Ciamik Modern",11000000000,"Citraland, Surabaya",5,6,300,490,2,16500,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Flash Sale Drop 600jt - Rumah Besar 2 Lantai Gayungsari Barat Surabaya Terawat Dkt Al Hikmah & Polda Jatim,5000000000,"Gayungan, Surabaya",5,4,385,500,1,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
❌ Luas 425 M² ❌ Rumah Kost Aktif Di Siwalankerto Dekat Petra Jemursari Tenggilis,4000000000,"Wonocolo, Surabaya",24,16,425,425,4,13200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
"❌ Termurah, Jalan Utama❌ Rumah Murah Di Perum Elveka Kebonsari - Gayungsari Ketintang",7500000000,"Gayungan, Surabaya",6,2,685,550,2,4400,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
For Sale Rumah Di Bakti Husada,5900000000,"Surabaya Kota, Surabaya",4,3,278,320,1,3500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Pusat Kota Jl. Bromo Lokasi Strategis Surabaya,12500000000,"Surabaya Kota, Surabaya",5,3,607,632,5,6600,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Dijual Rumah Pusat Kota Bromo Lokasi Strategis Cocok Buat Usaha,12500000000,"Surabaya Kota, Surabaya",5,3,607,632,5,6600,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Surabaya,SHM
Rumah kos exclusive strategis dekat kampus ternama area merjosari,2650000000,"Lowokwaru, Malang",14,4,117,225,1,1300,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Malang,SHM
